DEBUG:root:Searching for devices on 192.168.1.1/24
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.101:5000
DEBUG:urllib3.connectionpool:http://192.168.1.101:5000 "GET / HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.107:5000
DEBUG:urllib3.connectionpool:http://192.168.1.107:5000 "GET / HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.108:5000
DEBUG:urllib3.connectionpool:http://192.168.1.108:5000 "GET / HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.109:5000
DEBUG:urllib3.connectionpool:http://192.168.1.109:5000 "GET / HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.112:5000
DEBUG:urllib3.connectionpool:http://192.168.1.112:5000 "GET / HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.113:5000
DEBUG:urllib3.connectionpool:http://192.168.1.113:5000 "GET / HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.115:5000
DEBUG:urllib3.connectionpool:http://192.168.1.115:5000 "GET / HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.117:5000
DEBUG:urllib3.connectionpool:http://192.168.1.117:5000 "GET / HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.118:5000
DEBUG:urllib3.connectionpool:http://192.168.1.118:5000 "GET / HTTP/1.1" 200 14
DEBUG:root:Found 9 devices
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.101:5000
DEBUG:urllib3.connectionpool:http://192.168.1.101:5000 "GET /ping HTTP/1.1" 200 62
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.107:5000
DEBUG:urllib3.connectionpool:http://192.168.1.107:5000 "GET /ping HTTP/1.1" 200 62
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.108:5000
DEBUG:urllib3.connectionpool:http://192.168.1.108:5000 "GET /ping HTTP/1.1" 200 62
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.109:5000
DEBUG:urllib3.connectionpool:http://192.168.1.109:5000 "GET /ping HTTP/1.1" 200 62
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.112:5000
DEBUG:urllib3.connectionpool:http://192.168.1.112:5000 "GET /ping HTTP/1.1" 200 62
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.113:5000
DEBUG:urllib3.connectionpool:http://192.168.1.113:5000 "GET /ping HTTP/1.1" 200 62
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.115:5000
DEBUG:urllib3.connectionpool:http://192.168.1.115:5000 "GET /ping HTTP/1.1" 200 62
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.117:5000
DEBUG:urllib3.connectionpool:http://192.168.1.117:5000 "GET /ping HTTP/1.1" 200 62
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.118:5000
DEBUG:urllib3.connectionpool:http://192.168.1.118:5000 "GET /ping HTTP/1.1" 200 62
INFO:root:Connection completed
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.101:5000
DEBUG:urllib3.connectionpool:http://192.168.1.101:5000 "POST /send HTTP/1.1" 200 18
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.107:5000
DEBUG:urllib3.connectionpool:http://192.168.1.107:5000 "POST /send HTTP/1.1" 200 18
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.108:5000
DEBUG:urllib3.connectionpool:http://192.168.1.108:5000 "POST /send HTTP/1.1" 200 18
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.118:5000
